id,timestamp,media_product_type,media_type,permalink,like_count,comments_count,caption,reach,saved,shares,views,total_interactions,profile_visits,follows,ig_reels_avg_watch_time,ig_reels_video_view_total_time
18103674043923781,2026-08-19T10:07:46+0000,REELS,VIDEO,https://www.instagram.com/reel/DcN754ijiMD/,0,0,"주말에 늦잠 자면 뇌졸중 위험이 40프로나 낮아진다는 연구 결과가 나왔어요 평일에 쌓인 피로를 주말 보충 수면으로 해소하는 거래요 평소 수면이 부족했다면 이번 주말엔 2~3시간 더 푹 주무세요 다만 너무 과한 낮잠은 수면 리듬을 깨니 주의해야 해요

저장해두고 이번 주말에 꼭 실천해보세요

매일 유익한 건강 상식과 실전 꿀팁만 골라 올립니다 → @glend_kr

여러분은 주말에 보통 몇 시간 주무시나요? 댓글로 알려주세요 👇

#건강정보 #수면관리 #뇌졸중예방 #건강관리 #생활습관

🎵 Music: Inspired – Kevin MacLeod (incompetech.com), CC BY 4.0",109,0,0,123,0,,,1816,197991
18113418104284476,2026-08-18T23:12:49+0000,FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/DcMw-1ZGyLB/,0,0,"세금 납부 압박에 시달린다면 지금 바로 확인해야 할 소식입니다.

극한호우로 큰 피해를 입은 거제와 통영 지역의 중소기업들을 위해 국세청이 세금 납부 기간을 두 달간 연장하기로 결정했습니다. 대상 기업이라면 세무서 방문이나 홈택스를 통해 간편하게 혜택을 챙길 수 있습니다.

자금 압박을 조금이라도 덜어줄 수 있는 기회이니 해당되시는 분들은 꼭 신청하시기 바랍니다.

💾 기한 놓치기 전에 저장해두세요!

📌 매일 놓치기 쉬운 재테크 정보 받고 싶다면 @glend_kr 팔로우!

여러분 주변에 대상자가 있다면 이 소식을 전해주실 건가요? 댓글로 알려주세요 👇

#경제뉴스 #세금감면 #국세청 #중소기업지원 #세금납부연장",7,0,0,19,0,0,0,,
18083682302275447,2026-08-17T10:30:37+0000,REELS,VIDEO,https://www.instagram.com/reel/DcI04lPIISf/,4,0,"아이 낳으셨다면 평생 받는 연금액이 달라집니다 👶

국가에서 주는 국민연금 출산크레딧 혜택, 의외로 몰라서 못 챙기는 분들이 정말 많습니다.

2008년 1월 이후 둘째 자녀 이상을 얻은 부모라면 둘째는 12개월, 셋째부터는 18개월씩 최대 50개월까지 국민연금 가입 기간을 공짜로 추가 인정해 줍니다.

가입 기간이 늘어나는 만큼 노후에 매월 평생 받는 연금 수령액이 훌쩍 늘어나게 돼요.

신청 시기는 출산 직후가 아니라 만 60세가 넘어 노령연금을 청구할 때 함께 신청하는 방식입니다. 부부 중 한 사람에게 몰아줄 수 있으니 유리한 쪽으로 합의해서 신청하세요!

남성 군복무 6개월 추가 인정 크레딧도 있으니 잊지 마세요.

📌 매일 놓치기 쉬운 연금·정부지원금 꿀팁만 골라 올립니다 → @glend_kr

나중에 잊지 않도록 미리 저장해두시고 가족들에게도 공유해 주세요!

출산크레딧 제도, 여러분은 알고 계셨나요? 댓글로 의견을 남겨주세요 👇

#국민연금 #출산크레딧 #노후준비 #재테크팁 #연금수령액

🎵 Music: Inspired – Kevin MacLeod (incompetech.com), CC BY 4.0",948,7,2,1029,13,,,7171,6784055
18186754072392584,2026-08-17T04:31:04+0000,REELS,VIDEO,https://www.instagram.com/reel/DcILxf_EotU/,5,0,"새벽 2~3시에 자꾸 깨는 습관, 절대 가볍게 넘기지 마세요 🚨

단순한 불면증인 줄 알았던 야간 각성이 뇌졸중과 심근경색 발병 위험을 무려 71%나 끌어올린다는 연구 결과가 나왔습니다.

잠에서 깰 때마다 자율신경계가 비정상적으로 흥분하면서 혈압이 치솟고 심장에 엄청난 무리를 주기 때문인데요.

특히 갱년기 호르몬 변화를 겪는 분들이나 수면무호흡증이 의심되는 분들은 비급여 70만 원 상당의 수면다원검사를 건강보험 적용받아 13만 원대에 정밀 검진받으실 수 있습니다.

자다 깼을 때는 절대 휴대폰 불빛을 보지 마시고, 미지근한 물 한 잔과 함께 가벼운 심호흡으로 뇌를 진정시켜 주세요.

📌 매일 놓치기 쉬운 핵심 건강정보와 복지 혜택만 골라 올립니다 → @glend_kr

여러분은 밤에 자다 깨는 일이 일주일에 몇 번이나 있으신가요? 댓글로 알려주세요 👇

#수면장애 #야간각성 #갱년기건강 #심혈관질환예방 #건강정보꿀팁

🎵 Music: Inspired – Kevin MacLeod (incompetech.com), CC BY 4.0",708,1,1,763,7,,,5602,3899149
18016737821875926,2026-08-16T10:08:06+0000,REELS,VIDEO,https://www.instagram.com/reel/DcGNhZaiRYr/,0,0,"살 뺐다 쪘다 반복하면 심장이 망가집니다 ⚠️

단기간에 무리해서 감량했다가 다시 살이 찌는 요요현상, 단순한 실패가 아니라 심혈관 질환 위험을 3.5배나 높이는 위험 신호예요.

급격한 감량은 근육을 녹이고 내장지방과 혈관 염증만 급증시킵니다. 심하면 이명이나 이관개방증까지 올 수 있어요.

한 달 감량 목표는 내 체중의 5% 이내로 잡고, 가까운 보건소에서 무료 대사증후군 검사와 체성분 분석부터 꼭 받아보세요.

📌 매일 놓치기 쉬운 실전 건강 꿀팁만 골라 올립니다 → @glend_kr

다이어트 후 어지럼증이나 요요를 겪어보신 적 있나요? 여러분의 경험을 댓글로 알려주세요 👇

#다이어트부작용 #요요현상 #심혈관건강 #보건소혜택 #건강관리꿀팁

🎵 Music: Inspired – Kevin MacLeod (incompetech.com), CC BY 4.0",113,0,0,133,0,,,5647,626858
18072609236418179,2026-08-16T04:19:48+0000,REELS,VIDEO,https://www.instagram.com/reel/DcFlsJBEvQ6/,0,0,"최근 5년간 공공기관 개인정보 유출이 7배나 급증했습니다.

해킹뿐만 아니라 관리자 과실로 주민번호와 전화번호가 털려 스팸과 피싱 타깃이 되는 경우가 정말 많은데요.

정부에서 무료로 제공하는 털린 내 정보 다찾기 서비스에서 내 계정이 다크웹에 유출됐는지 즉시 조회할 수 있습니다.

추가로 e프라이버시 클린서비스를 통해 나도 모르게 가입된 사이트를 일괄 탈퇴하고, 엠세이퍼로 통신사 명의도용까지 원천 차단하세요.

📌 매일 일상에 꼭 필요한 안전·보안 꿀팁만 골라 전해드립니다 → @glend_kr

여러분은 최근 스팸 문자나 모르는 번호 전화가 부쩍 늘지 않으셨나요? 댓글로 알려주세요 👇

#개인정보유출 #개인정보보호 #보이스피싱예방 #스팸차단 #정부지원혜택

🎵 Music: Inspired – Kevin MacLeod (incompetech.com), CC BY 4.0",154,1,0,168,1,,,4170,621475
17944862037296233,2026-08-15T10:01:13+0000,REELS,VIDEO,https://www.instagram.com/reel/DcDn97Tk4mo/,1,0,"밤바다 조개 잡으러 갔다가 바닷물에 갇혀 숨지는 사고가 매년 100건 넘게 터지고 있습니다.

서해안 밀물 속도는 시속 15km로 사람 뛰는 속도보다 빨라 순식간에 갯골에 갇힙니다.

불법 장비 사용 시 최대 300만원 과태료는 물론 가슴장화에 물이 차면 그대로 가라앉습니다.

간조 30분 전 알람 맞춰 즉시 철수하고, 팽창식 구명조끼와 호루라기를 꼭 착용하세요.

해경 위치 전송 앱인 해로드 설치와 2인 1조 동행은 선택이 아닌 필수입니다.

📌 매일 놓치기 쉬운 실생활 사건사고·안전정보만 골라 올립니다 → @glend_kr

야간 해루질 장비 챙기실 때 구명조끼 꼭 챙기고 계신가요? 댓글로 알려주세요 👇

#해루질사고 #야간해루질 #해로드 #갯벌안전 #생활안전꿀팁

🎵 Music: Inspired – Kevin MacLeod (incompetech.com), CC BY 4.0",166,0,0,177,1,,,4490,745486
17978158620116644,2026-08-15T03:46:30+0000,REELS,VIDEO,https://www.instagram.com/reel/DcC9DZhEmSN/,0,0,"여행 갈 때 20만원 아끼는 법 💸

지자체에서 여행 경비의 절반(50%)을 지역화폐로 꽉 채워 돌려주는 '반값 여행 지원금'이 전국으로 확대되고 있습니다.

가장 대표적인 강진군의 경우 관외 거주자라면 소득 조건 없이 누구나 신청 가능하며, 사용 금액의 50%(최대 20만원)를 모바일 지역사랑상품권으로 환급해 줍니다.

📌 핵심 체크포인트
1. 여행 가기 전 지자체 홈페이지에서 사전 신청 필수
2. 관내 소상공인 식당, 숙소 영수증 7일 내 제출
3. 대형마트/유흥업소 영수증은 환급 제외
4. 한국관광공사 '디지털 관광주민증'과 중복 혜택 가능

예산 소진 시 선착순 조기 마감되니 여행 계획 있으시다면 빠르게 신청해 두세요!

📌 놓치면 후회하는 최신 정부지원금·생활 재테크 꿀팁만 쏙쏙 골라 올립니다 → @glend_kr

이번 주말 반값 지원금 받고 어디로 떠나고 싶으신가요? 댓글로 공유해 주세요 👇

#반값여행 #여행지원금 #정부지원금 #국내여행지추천 #생활꿀팁

🎵 Music: Inspired – Kevin MacLeod (incompetech.com), CC BY 4.0",114,0,0,122,0,,,2218,248453
18106714136123758,2026-08-14T10:56:55+0000,REELS,VIDEO,https://www.instagram.com/reel/DcBJhKakTal/,0,0,"수억 원 로또로 불리던 줍줍이 12월부터 완전히 사라집니다 🚨

정부의 최신 공급 대책으로 인해 무순위 미계약 물량을 LH가 전량 매입해 공공임대주택으로 전환하기로 했습니다.

그동안 청약통장 없이 전국 누구나 신청해 수십만 대 1을 기록했던 로또 줍줍은 11월까지만 유효합니다.

남은 3달 동안 청약홈에 올라오는 잔여 물량을 노리실 분들은 반드시 분양가의 10~20%에 달하는 계약금 현금 여력을 먼저 점검하셔야 합니다.

규제지역의 경우 당첨 시 최대 10년 동안 재당첨이 제한될 수 있으니 무턱대고 넣으시면 안 됩니다.

📌 매일 놓치기 쉬운 알짜 부동산·재테크 정보만 골라 올립니다 → @glend_kr

12월 전 마지막 줍줍 막차, 여러분은 도전해보실 건가요? 댓글로 의견을 남겨주세요 👇

#무순위청약 #로또청약 #청약홈 #부동산대책 #아파트청약

🎵 Music: Inspired – Kevin MacLeod (incompetech.com), CC BY 4.0",189,0,0,205,0,,,5897,1114644
18344122945301975,2026-08-14T05:23:14+0000,REELS,VIDEO,https://www.instagram.com/reel/DcAjVShE7Ju/,0,0,"살 빼려다 쓸개에 돌 생깁니다 🚨

최근 위고비 등 GLP-1 비만치료제 열풍과 초절식 다이어트로 2030 담석증 환자가 급증하고 있습니다.

단기간에 굶어서 살을 빼면 담즙이 배출되지 않고 고이면서 굳어버려 담석이 만들어지는데요.

명치나 오른쪽 갈비뼈 아래가 쥐어짜듯 아프다면 단순 소화불량이 아닌 담석증일 수 있습니다.

극단적인 무지방 식단을 피하고, 좋은 기름을 조금씩 챙겨 담낭을 주기적으로 비워주는 것이 예방의 핵심입니다.

📌 매일 내 몸 망치는 잘못된 건강 상식과 실전 예방법만 골라 올립니다 → @glend_kr

다이어트할 때 무조건 지방부터 끊으셨나요? 댓글로 경험을 공유해주세요 👇

#담석증 #다이어트부작용 #비만치료제 #건강꿀팁 #식단관리

🎵 Music: Inspired – Kevin MacLeod (incompetech.com), CC BY 4.0",116,0,0,124,0,,,2686,311615
